,Page,Texte
75,57,"57
vertueux, 
exception 
faite 
peut-etre 
des 
aimables
 idealistes , qui s’exaltent pour le vrai, le beau et le bien
et qui elevent dans leurs marecages, ou elles nagent dans un
pele-mele bariole, toutes sortes de choses desirables,
lourdes et inoffensives. Le bonheur et la vertu ne sont pas
des arguments. On oublie cependant volontiers, meme du
cote des esprits reflechis, que rendre malheureux, rendre
mechant, sont tout aussi peu des arguments contraires. Une
chose pourrait etre vraie bien qu’elle fut au plus haut degre
nuisible et dangereuse. Perir par la connaissance absolue
pourrait meme faire partie du fondement de l’Etre, de sorte
qu’il faudrait mesurer la force d’un esprit selon la dose de
 verite  qu’il serait capable d’absorber impunement, plus
exactement selon le degre auquel il faudrait delayer pour lui
la verite, la voiler, l’adoucir, l’epaissir, la fausser. Mais le
doute n’est pas possible, dans la decouverte de certaines
parties de la verite les mechants et les malheureux sont plus
favorises et ont plus de chance de reussir. Pour ne point
parler ici des mechants qui sont heureux, une espece que les
moralistes passent sous silence. Peut-etre la durete et la ruse
fournissent-elles 
des 
conditions 
plus 
favorables 
pour
l’eclosion 
des 
esprits 
robustes 
et 
des 
philosophes
independants que cette bonhomie pleine de douceur et de
souplesse, cet art de l’insouciance que l’on apprecie a juste
titre chez les savants."
76,57,"Mais le
doute n’est pas possible, dans la decouverte de certaines
parties de la verite les mechants et les malheureux sont plus
favorises et ont plus de chance de reussir. Pour ne point
parler ici des mechants qui sont heureux, une espece que les
moralistes passent sous silence. Peut-etre la durete et la ruse
fournissent-elles 
des 
conditions 
plus 
favorables 
pour
l’eclosion 
des 
esprits 
robustes 
et 
des 
philosophes
independants que cette bonhomie pleine de douceur et de
souplesse, cet art de l’insouciance que l’on apprecie a juste
titre chez les savants. Avec cette reserve cependant qu’on
ne borne pas la conception du  philosophe  au philosophe
qui ecrit des livres, ou qui fait des livres avec sa
philosophie.  Stendhal ajoute un dernier trait a l’esquisse
du philosophe de la pensee libre, un trait que, pour"
77,58,"58
l’edification du gout allemand je ne veux pas omettre de
souligner ici.   Pour etre bon philosophe, dit ce dernier
grand psychologue, il faut etre sec, clair, sans illusion. Un
banquier qui a fait fortune a une partie du caractere requis
pour faire des decouvertes en philosophie, c’est-a-dire pour
voir clair dans ce qui est. 
40.
Tout ce qui est profond aime le masque. Les choses les
plus profondes eprouvent meme une certaine haine a
l’egard des images et des symboles. Le contraste ne serait-il
pas le meilleur deguisement que revetirait la pudeur d’un
dieu  ? C’est la une question digne d’etre posee. Il serait
singulier que quelque mystique n’eut pas essaye sur lui
quelque chose de semblable. Il y a des phenomenes
d’espece si delicate qu’on fait bien de les etouffer sous une
grossierete pour les rendre meconnaissables. Il est des
actions inspirees par l’amour et une generosite sans borne
qu’il faut faire oublier en rossant a coups de batons celui
qui en a ete temoin. C’est une facon de troubler sa memoire.
Quelques-uns s’entendent a troubler leur propre memoire, a
la martyriser pour exercer une vengeance du moins sur cet
unique complice. La pudeur est inventive. Ce ne sont pas
les pires choses dont on a le plus honte ! Un masque cache
souvent autre chose que de la perfidie. Il y a tant de bonte
dans la ruse ! J’imaginerais facilement un homme qui, ayant
a cacher quelque chose de precieux et de delicat, roulerait a
travers la vie, gros et rond, tel un fut de vin solidement
cercle. Sa subtile pudeur exige qu’il en soit ainsi. Pour un"
78,59,"59
homme doue d’une pudeur profonde, les destinees et les
crises delicates choisissent des voies ou presque personne
n’a jamais passe, des voies que doivent meme ignorer ses
plus intimes confidents. Il se cache d’eux lorsque sa vie est
en danger et aussi lorsqu’il a reconquis sa securite. Un tel
homme cache qui, par instinct, a besoin, de la parole pour
se taire et pour taire, inepuisable dans les moyens de voiler
sa pensee, demande que ce soit un masque qui emplisse, a
sa place, le cur et l’esprit de ses amis, et il s’entend a
encourager ce mirage. En admettant pourtant qu’il veuille
etre sincere, il s’apercevra un jour que, malgre tout, ce n’est
qu’un masque que l’on connait de lui et qu’il est bon qu’il
en soit ainsi. Tout esprit profond a besoin d’un masque. Je
dirai plus encore : autour de tout esprit profond grandit et se
developpe sans cesse un masque, grace a l’interpretation
toujours fausse, c’est-a-dire plate, de chacune de ses
paroles, de chacune de ses demarches, du moindre signe de
vie qu’il donne.
41.
Il faut faire ses preuves devant soi-meme, pour demontrer
que l’on est ne pour l’independance et le commandement, il
faut les faire au bon moment. Il ne faut pas vouloir eviter
ses epreuves d’essai, bien qu’elles soient peut-etre le jeu le
plus dangereux que l’on puisse jouer et qu’en somme il ne
s’agit que d’essais dont nous sommes les seuls temoins et
dont personne d’autre n’est juge. Ne s’attacher a aucune
personne, fut-elle meme la plus chere,  toute personne est
une prison, et aussi un recoin. Ne pas rester lie a une patrie,"
79,60,"60
fut-elle la plus souffrante et la plus faible,  il est moins
difficile de detacher son cur d’une patrie victorieuse. Ne
pas rester lie a un sentiment de pitie, dut-il s’adresser a des
hommes superieurs, dont le hasard nous aurait laisse
penetrer le martyre et l’isolement. Ne pas rester lie a une
science, nous apparut-elle sous l’aspect le plus seduisant,
avec des trouvailles precieuses qui parussent reservees pour
nous. Ne pas rester lie a son propre detachement, a cet
eloignement voluptueux de l’oiseau qui fuit toujours plus
haut dans les airs, emporte par son vol, pour voir toujours
plus de choses au-dessous de lui,  c’est le danger de celui
qui plane. Ne pas rester lie a nos propres vertus et etre
victime, dans notre ensemble, d’une de nos qualites
particulieres, par exemple de notre  hospitalite , comme
c’est le danger chez les ames nobles et abondantes qui se
depensent avec prodigalite et presque avec indifference et
poussent jusqu’au vice la vertu de la liberalite. Il faut savoir
se conserver. C’est la meilleure preuve d’independance.  
42.
Une nouvelle race de philosophes se leve. J’ose la
baptiser d’un nom qui n’est pas sans danger. Tels que je les
devine, tels qu’ils se laissent deviner  car il est dans leur
nature de vouloir rester quelque peu enigmes,  ces
philosophes de l’avenir voudraient avoir, justement et peut-
etre aussi injustement  un droit a etre appeles des
seducteurs. Lancer ce qualificatif ce n’est peut-etre, en fin
de compte, qu’une tentative et, si l’on veut, une tentation.
43."
80,61,"61
Seront-ils de nouveaux amis de la   verite  , ces
philosophes 
de 
l’avenir  ? 
Sans 
doute, 
car 
tous 
les
philosophes ont, jusqu’a present, aime leur verite. Mais
certainement ce ne seront pas des dogmatiques. Ce serait
contraire a leur fierte et irait aussi contre leur gout si leur
verite devait etre une verite pour tout le monde, ce qui fut
jusqu’a present le secret desir et la pensee de derriere la tete
de toutes les aspirations dogmatiques.   Mon jugement,
c’est mon jugement a moi : un autre ne me semble pas y
avoir droit  ainsi s’exprimera peut-etre un de ces
philosophes de l’avenir. Il faut se garder du mauvais gout
d’avoir des idees communes avec beaucoup de gens.
 Bien  n’est plus bien des que le voisin l’a en bouche. Et
comment, se pourrait-il qu’il y eut un  bien public  ! Le
mot se contredit lui-meme. Ce qui peut etre public est
toujours de peu de valeur. En fin de compte, il faut qu’il en
soit comme il en a toujours ete  : les grandes choses sont
reservees aux grands, les profondes aux profonds, les
douceurs et les frissons aux ames subtiles, bref, tout ce qui
est rare aux etres rares.
44.
Apres tout cela, ai-je encore besoin de dire qu’eux aussi
seront 
des 
esprits 
libres, 
de 
tres 
libres 
esprits, ces
philosophes de l’avenir, bien qu’il soit certain qu’ils ne
seront pas seulement des esprits libres, mais quelque chose
de plus, quelque chose de superieur et de plus grand,
quelque chose de foncierement different, qui ne veut etre ni
meconnu, ni confondu ? Mais, tout en disant cela, je sens"
81,62,"62
envers eux, autant qu’envers nous-memes, qui sommes les
herauts et les precurseurs, nous autres esprits libres !  je
sens le devoir d’ecarter de nous un vieil et stupide prejuge,
une ancienne meprise, qui, depuis trop longtemps, ont
obscurci comme d’un brouillard l’idee d’  esprit  , lui
enlevant sa limpidite. Dans tous les pays de l’Europe, et
aussi en Amerique, il y a maintenant des gens qui abusent
de ce mot. C’est une espece d’esprits tres etroits, d’esprits
bornes et attaches de chaines, qui aspirent a peu pres au
contraire de ce qui repond a nos intentions et a nos instincts,
 sans 
compter que 
l’avenement 
de 
ces 
nouveaux
philosophes les fait demeurer fenetres fermees et portes
verrouillees. 
Pour 
le 
dire 
sans 
ambages, 
ils 
font
malheureusement 
partie 
des 
niveleurs, 
ces 
esprits
faussement denommes  libres   car ce sont les esclaves
diserts, les plumitifs du gout democratique et des   idees
modernes  propres a ce gout. Tous hommes sans solitude,
sans une solitude qui leur soit propre  ; ce sont de braves
garcons a qui l’on ne peut denier ni courage ni murs
honorables, 
si 
ce 
n’est 
qu’ils 
sont 
sans 
liberte 
et
ridiculement superficiels, surtout avec cette tendance qui
leur fait voir, a peu pres, dans les formes de la vieille
societe, la cause de toutes les miseres humaines et de tous
les deboires : par quoi la verite finit par etre placee sur la
tete !"
82,62,"Tous hommes sans solitude,
sans une solitude qui leur soit propre  ; ce sont de braves
garcons a qui l’on ne peut denier ni courage ni murs
honorables, 
si 
ce 
n’est 
qu’ils 
sont 
sans 
liberte 
et
ridiculement superficiels, surtout avec cette tendance qui
leur fait voir, a peu pres, dans les formes de la vieille
societe, la cause de toutes les miseres humaines et de tous
les deboires : par quoi la verite finit par etre placee sur la
tete ! Ce a quoi ils tendent de toutes leurs forces, c’est le
bonheur general des troupeaux sur le paturage, avec la
securite, le bien-etre et l’allegement de l’existence pour tout
le monde. Les deux rengaines qu’ils chantent le plus
souvent sont  egalite des droits  et  pitie pour tout ce qui"
83,63,"63
souffre , et ils considerent la souffrance elle-meme comme
quelque chose qu’il faut supprimer. Nous, qui voyons les
choses sous une autre face, nous qui avons ouvert notre
esprit a la question de savoir ou et comment la plante
  homme   s’est developpee le plus vigoureusement
jusqu’ici, nous croyons 
qu’il a fallu pour 
cela des
conditions toutes contraires que, chez l’homme, le danger
de la situation a du grandir jusqu’a l’enormite, le genie
d’invention et de dissimulation (l’  esprit  ), sous une
pression et une contrainte prolongee, se developper en
hardiesse et en subtilite, la volonte de vivre se surhausser
jusqu’a l’absolue volonte de puissance. Nous pensons que
la durete, la violence, l’esclavage, le peril dans l’ame et
dans la rue, que la dissimulation, le stoicisme, les artifices
et les diableries de toutes sortes, que tout ce qui est
mauvais, terrible, tyrannique, tout ce qui chez l’homme
tient de la bete de proie et du serpent sert tout aussi bien a
l’elevation du type homme que son contraire. Et, en ne
disant que cela, nous n’en disons pas assez, car, tant par nos
paroles que par nos silences en cet endroit, nous nous
trouvons a l’autre bout de toute ideologie moderne, de tous
desirs du troupeau. Serions-nous peut-etre les antipodes de
ceux-ci ? Quoi d’etonnant si nous autres  esprits libres  ne
sommes 
pas 
precisement 
les 
esprits 
les 
plus
communicatifs ? si nous ne souhaitons pas de reveler, a tous
egards, de quoi un esprit peut se liberer, et ou il sera peut-
etre pousse ensuite."
84,63,"Et, en ne
disant que cela, nous n’en disons pas assez, car, tant par nos
paroles que par nos silences en cet endroit, nous nous
trouvons a l’autre bout de toute ideologie moderne, de tous
desirs du troupeau. Serions-nous peut-etre les antipodes de
ceux-ci ? Quoi d’etonnant si nous autres  esprits libres  ne
sommes 
pas 
precisement 
les 
esprits 
les 
plus
communicatifs ? si nous ne souhaitons pas de reveler, a tous
egards, de quoi un esprit peut se liberer, et ou il sera peut-
etre pousse ensuite. Pour ce qui en est de la dangereuse
formule  par dela le bien et le mal , elle nous preserve au
moins d’un quiproquo, car nous sommes tout autre chose"
85,64,"64
que des  libres-penseurs  , des   liberi pensatori  , des
 freie Geister  et quels que soient les noms qu’aiment a se
donner ces braves sectateurs de l’  idee moderne  .
Familiers dans beaucoup de provinces de l’esprit, dont nous
avons, pour le moins, ete les hotes  ; nous echappant
toujours des reduits obscurs et agreables ou les preferences
et les prejuges, la jeunesse, notre origine, le hasard des
hommes et des 
livres, ou meme les lassitudes des
pelerinages, paraissaient nous retenir, pleins de malice en
face des seductions de la dependance qui se cachent dans
les honneurs, dans l’argent, les fonctions publiques ou
l’exaltation des sens  ; reconnaissants meme a l’egard du
malheur et des vicissitudes de la maladie, puisque toujours
ils nous debarrassaient d’une regle et du  prejuge  de cette
regle ; reconnaissants envers Dieu, le diable, la brebis et le
ver qui se cachent en nous  ; curieux jusqu’au vice,
chercheurs jusqu’a la cruaute, avec des doigts audacieux
pour l’insaisissable, avec des dents et un estomac pour ce
qu’il y a de plus indigeste, prets a n’importe quel metier qui
demande de la sagacite et des sens aigus ; prets a n’importe
quelle aventure grace a un exces de libre jugement  ;
possedant 
des 
ames 
anterieures 
et 
posterieures 
dont
personne ne penetre les dernieres intentions, des premiers
plans et des arriere-plans que nul n’oserait parcourir."
86,64,"Caches sous le manteau de la lumiere, nous sommes des
conquerants, bien que nous paraissions semblables a des
heritiers et a des dissipateurs ; classeurs et collectionneurs
du matin au soir, avares de nos richesses et de nos casiers
debordants, economes a apprendre et a oublier, inventifs"
87,65,"65
dans les systemes, quelquefois orgueilleux des tables de
categories, parfois pedants, parfois nocturnes hiboux du
travail, meme en plein jour  ; parfois epouvantails aussi,
quand il le faut  et aujourd’hui il le faut ; je veux dire en
tant que nous sommes les amis de la solitude, amis innes,
jures et jaloux, de notre propre solitude profonde de midi et
de minuit. Voila l’espece d’hommes que nous sommes,
nous autres esprits libres ! Et peut-etre en etes-vous aussi,
vous qui viendrez dans l’avenir, vous les nouveaux
philosophes ? 
 
CHAPITRE TROISIEME
 
L’ESPRIT RELIGIEUX
 
45.
L’ame humaine et ses limites, la sphere d’experience,
parcourue jusqu’a present par l’ame humaine, les sommets,
les profondeurs et l’etendue de ces experiences, toute
l’histoire de l’ame jusqu’a nos jours, ses possibilites non
encore realisees, voila le district de chasse reserve au
psychologue de naissance, a l’ami de la  grande chasse .
Mais combien de fois il se dira avec desespoir :  Je suis
seul, helas ! tout seul, et la foret est si vaste et inexploree !"
88,66,"66
Alors il souhaitera pour lui quelques centaines d’auxiliaires
de chasse et de fins limiers qu’il pourrait envoyer sur les
pistes de l’ame humaine pour y traquer son gibier.
Cependant ses appels sont vains, il eprouve tous les jours
davantage, avec une amere deception, combien il est
difficile de trouver, pour toutes les choses qui justement
excitent sa curiosite, des aides et des chiens. L’inconvenient
qu’il y a a envoyer des savants sur des domaines nouveaux
et dangereux, ou, a tous egards, le courage, la sagacite et la
finesse sont necessaires, vient de ce que ces savants ne sont
plus bons a rien, des que commence la  grande chasse ,
mais aussi le grand danger, car c’est alors qu’ils perdent
leur flair et leur regard percant. Pour deviner, par exemple,
et etablir quelle fut l’histoire du probleme de la science et
de la connaissance dans l’ame des hommes religieux, peut-
etre faudrait-il etre soi-meme aussi profond, aussi blesse,
aussi enorme que la conscience intellectuelle d’un Pascal.
Encore faudrait-il, de plus, cet horizon vaste d’une
spiritualite claire et malicieuse, d’une spiritualite qui serait
capable de voir de haut, d’embrasser et de ramener en
formules 
ce 
chaos 
d’experiences 
dangereuses 
et
douloureuses.  Mais qui me rendrait ce service  ! Qui
aurait le temps d’attendre de pareils auxiliaires  ! Ceux-ci
sont evidemment trop rares, leur venue est de tous temps si
invraisemblable ! En fin de compte, il faut tout faire soi-
meme, pour apprendre quelque chose, ce qui fait que l’on a
beaucoup a faire !  Mais une curiosite dans le genre de la
mienne reste le plus agreable des vices. Pardon, je voulais"
89,67,"67
dire que l’amour de la verite a sa recompense au ciel et deja
sur la terre.
46.
La foi, telle que l’exigeait le premier christianisme, telle
qu’il l’a souvent realisee, au milieu d’un monde sceptique
d’esprits libres et mediterraneens qui avaient derriere eux la
lutte 
seculaire 
d’ecoles 
philosophiques, 
sans 
oublier
l’education de tolerance que donnait l’Empire romain, 
cette foi est toute differente de cette croyance de fidele
sujet, naive et hargneuse, par laquelle un Luther, un
Cromwell ou quelque autre barbare du Nord s’attacherent a
leur Dieu et a leur christianisme. Elle se retrouve bien plutot
dans la foi de Pascal, cette foi qui ressemble d’une facon
epouvantable a un continuel suicide de la raison. C’etait la
une raison tenace et opiniatre comme un ver rongeur, et on
ne saurait l’assommer d’un seul coup. La foi chretienne est
des l’origine un sacrifice : sacrifice de toute independance,
de toute fierte, de toute liberte de l’esprit, en meme temps
servilite, insulte a soi-meme, mutilation de soi. Il y a de la
cruaute et du phenicisme religieux dans cette croyance,
imposee a une conscience tendre, compliquee et tres
delicate  : elle suppose que la soumission de l’esprit fait
infiniment mal, que tout le passe et les habitudes d’un tel
esprit se revoltent contre l’absurdissimum que represente,
pour lui, une telle   foi  . Les hommes modernes, sur
lesquels s’est usee la nomenclature chretienne, ne ressentent
plus ce qu’il y avait de terrible et de superlatif, pour le gout
antique, dans le paradoxe de la formule  Dieu en croix ."
90,68,"68
Jamais et nulle part il n’y a plus eu jusqu’a present une telle
audace dans le renversement des idees, quelque chose
d’aussi terrible, d’aussi angoissant et d’aussi problematique
que cette formule  : elle promettait une transmutation de
toutes les valeurs antiques.  C’est l’Orient, l’Orient
profond, l’esclave oriental qui se vengeait ainsi de Rome,
de sa noble et frivole tolerance, qui se vengeait de ce
  catholicisme   romain de l’incredulite. Et ce ne fut
toujours pas la foi, mais l’independance a l’egard de la foi,
cette insouciance souriante et demi-stoique en face du
serieux de la foi qui, chez les maitres, revolta les esclaves
contre leurs maitres ! La  lumiere  revolte : car l’esclave
veut quelque chose d’absolu, il ne comprend que ce qui est
tyrannique, meme en morale. Il aime comme il hait, sans
nuance, profondement, jusqu’a la douleur, jusqu’a la
maladie. Sa longue souffrance dissimulee se revolte contre
le bon gout qui parait nier la souffrance. Le scepticisme a
l’egard de la souffrance n’est au fond qu’une attitude de la
morale aristocratique. Il n’est pas la moindre cause de la
derniere grande revolte d’esclaves qui a commence avec la
Revolution francaise.
47.
Partout ou s’est manifestee jusqu’a present sur la terre la
nevrose religieuse, nous la trouvons liee a trois dangereuses
prescriptions de regime : la solitude, le jeune et la chastete,
mais sans que l’on puisse se rendre compte avec certitude
de ce qui est ici la cause, de ce qui est l’effet, et s’il y a la
un rapport de cause a effet. On peut emettre un dernier"
91,69,"69
doute, si l’on considere que, tant chez les peuples sauvages
que chez les peuples assagis, la volupte la plus soudaine et
la plus exuberante fait aussi partie des symptomes les plus
frequents de cette nevrose, une volupte qui se transforme
ensuite tout aussi rapidement en crises de penitence,
negation du monde et aneantissement de la volonte. Ne
pourrait-on interpreter l’une et l’autre tendance comme de
l’epilepsie masquee  ? Mais nulle part on ne devrait
davantage s’abstenir des interpretations. Nulle part, comme
autour du type religieux, ne s’est developpe autant de non-
sens et de superstition, aucun ne semble avoir interesse,
jusqu’a present, davantage les hommes et meme les
philosophes. Il serait vraiment temps de juger un peu plus
froidement ce sujet, d’apprendre la circonspection, mieux
encore de regarder ailleurs, de s’en aller.  Meme a
l’arriere-plan de la derniere venue parmi les philosophies, la
philosophie schopenhauerienne, se trouve, presque comme
probleme par excellence, cette epouvantable question de la
crise et du reveil religieux. Comment la negation de la
volonte est-elle possible  ? Comment l’homme saint est-il
possible ?  Il semble vraiment que ce sont ces questions
qui firent de Schopenhauer un philosophe et qui le
pousserent a debuter dans la philosophie. Et ce fut une
bonne consequence schopenhauerienne, si son disciple le
plus convaincu (peut-etre aussi le dernier, pour ce qui
concerne l’Allemagne), je veux dire Richard Wagner,
paracheva de la meme facon l’uvre de sa vie et finit par
mettre a la scene ce type terrible et immortel de Kundry,
type vecu en chair et en os. A la meme epoque les medecins"
92,70,"70
alienistes de presque tous les pays de l’Europe avaient un
pretexte pour l’etudier de pres, partout ou la nevrose
religieuse  je l’appelle la  manie  religieuse,  sous le
nom d’ armee du salut , avait produit sa derniere eruption
epidemique.  Si l’on se demande ce qui a semble si
extraordinairement interessant 
dans 
l’ensemble 
de 
ce
phenomene qui apparait, sous le nom de saint, aux hommes
de toutes les classes et de tous les temps, meme aux
philosophes, on peut repondre que c’est, sans nul doute,
l’apparence de miracle que prend ce phenomene, c’est-a-
dire la succession immediate de contrastes, d’etats d’ames
qui possedent des aspects moraux contradictoires. On
croyait 
saisir 
ici 
de 
la 
facon 
la 
plus 
vivante 
la
transformation d’un  homme mechant  devenant soudain
un   saint   et un homme bon. Jusqu’a present, la
psychologie a echoue en cet endroit. N’etait-ce pas surtout
parce qu’elle s’etait placee sous la domination de la morale,
parce qu’elle croyait aux oppositions morales des valeurs,
parce qu’elle introduisit cette opposition dans les faits, pour
y chercher une 
interpretation  ? 
 
Comment  ? 
Le
  miracle   ne serait qu’une erreur d’interpretation  ? Un
manque de philologie ?
48.
Le catholicisme semble appartenir d’une facon beaucoup
plus intime aux races latines que tout notre christianisme a
nous autres hommes du Nord. Par consequent, l’incredulite
signifierait tout autre chose dans les pays catholiques que
dans les pays protestants, ce serait une sorte de revolte"
93,71,"71
contre l’esprit de la race, tandis que chez nous ce serait
plutot un retour a l’esprit (ou au manque d’esprit) de la
race. Nous autres hommes du Nord, tirons certainement
notre origine des races barbares, meme pour ce qui en est de
notre sens religieux. Nous sommes mal doues pour la
religion. On peut excepter les Celtes qui, pour cette raison,
ont 
fourni 
le 
meilleur 
terrain 
a 
la 
propagation 
du
christianisme dans le Nord. En France, l’ideal chretien s’est
epanoui autant que le permettait le pale soleil du Nord.
Comme ils nous apparaissent singulierement pieux, selon
notre gout, ces sceptiques de la France contemporaine, pour
autant qu’ils tirent leur origine du sang celtique ! Comme la
sociologie d’Auguste Comte nous a une odeur catholique,
avec sa logique bien romaine dans l’instinct. Comme il est
jesuitique cet aimable et sagace cicerone de Port-Royal,
Sainte-Beuve, malgre toute l’hostilite qu’il oppose aux
jesuites  ! Et si nous songeons a Ernest Renan  ! Comme
cette langue de Renan nous parait inaccessible a nous autres
hommes du Nord, cette langue ou, a chaque instant, un rien
de 
tension 
religieuse 
trouble 
l’equilibre 
d’une 
ame
subtilement religieuse et d’un sybaritisme si delicat  !
Repetez 
avec 
lui 
ces 
belles 
phrases, 
quel 
echo 
de
mechancete et d’insolence elles eveilleront dans notre ame
certainement moins belle et plus dure, dans notre ame
allemande !"
94,71,"Et si nous songeons a Ernest Renan  ! Comme
cette langue de Renan nous parait inaccessible a nous autres
hommes du Nord, cette langue ou, a chaque instant, un rien
de 
tension 
religieuse 
trouble 
l’equilibre 
d’une 
ame
subtilement religieuse et d’un sybaritisme si delicat  !
Repetez 
avec 
lui 
ces 
belles 
phrases, 
quel 
echo 
de
mechancete et d’insolence elles eveilleront dans notre ame
certainement moins belle et plus dure, dans notre ame
allemande !   Disons donc hardiment que la religion est
un produit de l’homme normal, que l’homme est le plus
dans le vrai quand il est le plus religieux et le plus assure
d’une destinee infinie... C’est quand il est bon qu’il veut
que la vertu corresponde a un ordre eternel, c’est quand il"
95,72,"72
contemple les choses d’une maniere desinteressee qu’il
trouve la mort revoltante et absurde. Comment ne pas
supposer que c’est dans ces moments-la que l’homme voit
le mieux ?   Ces phrases sont si contraires aux habitudes
de ma pensee, il me semble tellement les entendre
prononcer aux antipodes de moi-meme que, la premiere fois
qu’elles me tomberent 
sous 
les 
yeux, 
mon 
premier
mouvement de colere me fit ecrire en marge :  la niaiserie
religieuse par excellence  !   Mais enfin, mon dernier
mouvement de colere finit par me faire aimer ces phrases,
avec leur verite placee sur la tete ! Il est si exquis et d’une
telle distinction d’avoir ses antipodes !
49.
Ce qui etonne dans la religiosite des anciens Grecs, c’est
l’abondance effrenee de gratitude qu’elle exhale. Quelle
noble espece d’hommes qui ont une telle attitude devant la
vie !  Plus tard, lorsque la populace eut la preponderance
en Grece, la crainte envahit aussi la religion, alors le
christianisme se prepare...
50.
La passion pour Dieu : il en est de brutales, de sinceres et
d’importunes, comme celle de Luther,  au protestantisme
tout entier la delicatesse du Midi fait defaut. Il y a une
facon orientale d’etre hors des gonds, comme c’est le cas
chez l’esclave affranchi ou emancipe a tort, par exemple
chez saint Augustin, dont le manque de noblesse dans les
attitudes et les desirs va jusqu’a devenir blessant. Il y a une
tendresse et une ardeur toutes feminines, qui, pleines de"
96,73,"73
timidite et d’ignorance, aspirent a une union mystique et
physique, comme chez Mme Guyon. Dans nombre de cas,
cette passion apparait, de facon assez singuliere, comme le
deguisement 
de 
la 
puberte 
chez 
la 
jeune 
fille 
ou
l’adolescent, parfois meme comme l’hysterie d’une vieille
demoiselle, et aussi comme la derniere ambition de celle-ci.
Plus d’une fois, dans des cas pareils, l’Eglise a canonise la
femme.
51.
Jusqu’a present, les hommes les plus puissants se sont
inclines devant le saint, le considerant comme l’enigme de
l’empire sur soi-meme et de la privation volontaire.
Pourquoi s’inclinaient-ils ? Ils soupconnaient chez lui  en
quelque sorte derriere l’enigme de son apparence fragile et
miserable  la force superieure qui tendait a s’affirmer
dans une telle contrainte, la puissance de volonte, ou ils
reconnaissaient et veneraient leur propre puissance et leur
joie de dominer. C’est une partie d’eux-memes qu’ils
honoraient en honorant le saint. Il faut ajouter que l’aspect
du saint les rendait mefiants. Une telle monstruosite de
negation et de contre-nature ne peut pas avoir ete desiree en
vain. Voila ce qu’ils se demandaient. Il existe peut-etre un
motif, un tres grand danger que l’ascete, grace a ses
approbateurs et a ses visiteurs secrets, pourrait connaitre de
plus pres. Quoi qu’il en soit, les puissants de la terre
apprirent, aupres de lui, une crainte nouvelle, ils devinerent
une nouvelle puissance, un ennemi etranger qui n’avait pas
encore ete vaincu. Ce fut la  volonte de puissance  qui les"
97,74,"74
obligea a s’arreter devant le saint. Ils etaient forces de
l’interroger.  
52.
Dans l’  ancien Testament   juif, le livre de la justice
divine, il y a des hommes, des choses et des discours d’un si
grand style que les litteratures grecque et hindoue n’ont rien
a leur opposer. On s’arrete avec crainte et veneration devant
ces vestiges prodigieux de ce que l’homme etait autrefois et
l’on songe tristement a la vieille Asie et a sa petite
presqu’ile, l’Europe, laquelle voudrait absolument signifier
 progres de l’homme  a l’egard de l’Asie. Il est vrai que
celui qui n’est lui-meme qu’un animal domestique docile et
falot, celui qui ne connait que les besoins de l’animal
domestique (pareil a nos hommes cultives d’aujourd’hui,
sans oublier les chretiens du christianisme  eclaire  )
celui-la ne doit ni s’etonner ni s’attrister parmi ces ruines.
Le gout pour l’ancien Testament est une pierre de touche
pour connaitre ce qui est  grand  et  petit . Peut-etre
trouvera-t-il le nouveau Testament, le livre de la grace,
plutot selon son cur (on y trouve des traces nombreuses de
cette veritable odeur des cagots et des petites ames tendres
et bornees). Avoir accole a l’ancien Testament ce nouveau
Testament, au gout si rococo a tous les points de vue, pour
n’en faire qu’un seul livre que l’on a appele  Bible , le
 livre des livres , c’est peut-etre la plus grande temerite,
le plus grand   peche contre l’esprit   que l’Europe
litteraire ait sur la conscience.
53."
98,75,"75
Pourquoi aujourd’hui de l’atheisme ?  Le  pere  en
Dieu est foncierement refute, de meme le   juge  , le
 dispensateur . De meme son  libre arbitre  : il n’entend
pas, et, s’il entendait, il ne saurait pourtant pas venir en
aide. Ce qu’il y a de pire c’est qu’il parait incapable de se
communiquer clairement. Est-il obscur  ?  Voila ce que
j’ai recueilli de plusieurs entretiens pris a droite et a gauche,
en questionnant, en ecoutant ca et la, au sujet de la ruine du
theisme europeen et de sa cause. Il me semble que l’instinct
religieux, bien qu’il se developpe puissamment, rejette le
theisme avec une profonde mefiance.
54.
De quoi s’occupe en somme toute la philosophie
moderne  ? Depuis Descartes  et cela plutot par defi
contre lui qu’en s’appuyant sur ses affirmations  tous les
philosophes commettent un attentat contre le vieux concept
de l’ame, sous l’apparence d’une critique de la conception
du sujet et de l’attribut, c’est-a-dire un attentat contre le
postulat de la doctrine chretienne. La philosophie moderne,
en tant que theorie sceptique de la connaissance, est, soit
d’une facon ouverte, soit d’une facon occulte, nettement
anti-chretienne, bien que, soit dit pour des oreilles plus
subtiles, nullement anti-religieuse. Jadis, on croyait a
l’  ame  , comme on croyait a la grammaire et au sujet
grammatical. On disait  :   Je  , condition,    pense  
attribut, conditionne. Penser est une activite, a laquelle il
faut supposer un sujet comme cause. On tenta alors, avec
une aprete et une ruse admirables, de sortir de ce reseau ; on"
